NAICS_TITLE,OCC_TITLE,emp2018,salary2018,emp2013,salary2013,emp2008,salary2008,emp2003,salary2003
General Medical and Surgical Hospitals,Medical Equipment Repairers,6020,57930,5220,50820,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Maintenance and Repair Workers, General",25220,46430,26580,41970,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Miscellaneous Installation, Maintenance, and Repair Workers",580,46040,850,39490,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Coin, Vending, and Amusement Machine Servicers and Repairers",40,28560,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,Locksmiths and Safe Repairers,240,55400,250,48310,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Helpers--Installation, Maintenance, and Repair Workers",200,37160,410,33780,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Installation, Maintenance, and Repair Workers, All Other",100,48150,150,40600,NA,NA,NA,NA
General Medical and Surgical Hospitals,Production Occupations,12440,45010,16410,40150,NA,NA,NA,NA
General Medical and Surgical Hospitals,Supervisors of Production Workers,550,64020,930,61450,NA,NA,NA,NA
General Medical and Surgical Hospitals,First-Line Supervisors of Production and Operating Workers,550,64020,930,61450,NA,NA,NA,NA
General Medical and Surgical Hospitals,Food Processing Workers,210,32890,240,30300,NA,NA,NA,NA
General Medical and Surgical Hospitals,Bakers,200,33080,230,30430,250,28140,400,25210
General Medical and Surgical Hospitals,Metal Workers and Plastic Workers,NA,51100,60,52330,NA,NA,NA,NA
General Medical and Surgical Hospitals,Machinists,NA,51290,50,51840,60,39260,50,47540
General Medical and Surgical Hospitals,Printing Workers,240,40700,310,40310,NA,NA,NA,NA
General Medical and Surgical Hospitals,Prepress Technicians and Workers,NA,40040,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,Printing Press Operators,190,40970,260,41000,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Textile, Apparel, and Furnishings Workers",6040,28900,8380,25330,NA,NA,NA,NA
General Medical and Surgical Hospitals,Laundry and Dry-Cleaning Workers,6000,28870,8310,25290,NA,NA,NA,NA
General Medical and Surgical Hospitals,Plant and System Operators,4510,65480,5440,59510,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Power Plant Operators, Distributors, and Dispatchers",360,61980,590,61010,NA,NA,NA,NA
General Medical and Surgical Hospitals,Power Plant Operators,350,63180,590,61010,NA,NA,NA,NA
General Medical and Surgical Hospitals,Stationary Engineers and Boiler Operators,4070,65940,4720,59500,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Plant and System Operators,60,56940,120,53240,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Plant and System Operators, All Other",60,56940,120,53240,NA,NA,NA,NA
General Medical and Surgical Hospitals,Other Production Occupations,790,41710,960,40290,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Inspectors, Testers, Sorters, Samplers, and Weighers",130,40620,80,51930,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Medical, Dental, and Ophthalmic Laboratory Technicians",590,42190,600,40240,NA,NA,NA,NA
General Medical and Surgical Hospitals,Medical Appliance Technicians,560,41960,550,39390,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Production Workers,40,36960,200,38650,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Production Workers, All Other",30,38750,190,38970,NA,NA,NA,NA
General Medical and Surgical Hospitals,Transportation and Material Moving Occupations,10410,33930,11500,30190,NA,NA,NA,NA
General Medical and Surgical Hospitals,Supervisors of Transportation and Material Moving Workers,590,56450,480,54260,NA,NA,NA,NA
General Medical and Surgical Hospitals,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",590,56450,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,Air Transportation Workers,160,88350,110,72690,NA,NA,NA,NA
General Medical and Surgical Hospitals,Aircraft Pilots and Flight Engineers,160,87990,100,74580,NA,NA,NA,NA
General Medical and Surgical Hospitals,Commercial Pilots,150,88180,100,74720,NA,NA,NA,NA
General Medical and Surgical Hospitals,Motor Vehicle Operators,5010,31990,5340,29130,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",1110,29370,1200,28120,NA,NA,NA,NA
General Medical and Surgical Hospitals,Bus Drivers,230,31990,410,30150,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Bus Drivers, Transit and Intercity",60,31110,40,36180,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Bus Drivers, School or Special Client",170,32320,370,29500,NA,NA,NA,NA
General Medical and Surgical Hospitals,Driver/Sales Workers and Truck Drivers,870,36300,1030,32080,NA,NA,NA,NA
General Medical and Surgical Hospitals,Heavy and Tractor-Trailer Truck Drivers,110,41520,120,37130,NA,NA,NA,NA
General Medical and Surgical Hospitals,Light Truck or Delivery Services Drivers,750,35550,900,31320,NA,NA,NA,NA
General Medical and Surgical Hospitals,Taxi Drivers and Chauffeurs,2630,31250,2440,27360,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Motor Vehicle Operators,180,38150,260,37170,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Motor Vehicle Operators, All Other",180,38150,260,37170,NA,NA,NA,NA
General Medical and Surgical Hospitals,Other Transportation Workers,1830,27580,2530,24830,NA,NA,NA,NA
General Medical and Surgical Hospitals,Parking Lot Attendants,1760,27510,2060,24520,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Transportation Workers,60,28630,190,28050,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Transportation Workers, All Other",60,28630,190,28050,NA,NA,NA,NA
General Medical and Surgical Hospitals,Material Moving Workers,2830,33820,3050,31210,NA,NA,NA,NA
General Medical and Surgical Hospitals,Industrial Truck and Tractor Operators,60,NA,80,37620,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Laborers and Material Movers, Hand",2680,33510,2830,30790,NA,NA,NA,NA
General Medical and Surgical Hospitals,Cleaners of Vehicles and Equipment,60,31900,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Laborers and Freight, Stock, and Material Movers, Hand",2600,33600,2800,30870,NA,NA,NA,NA
General Medical and Surgical Hospitals,Refuse and Recyclable Material Collectors,60,38950,50,31980,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Material Moving Workers,30,NA,90,38610,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Material Moving Workers, All Other",30,NA,90,38610,NA,NA,NA,NA
Specialty (except Psychiatric and Substance Abuse) Hospitals,"Special Education Teachers, Secondary School",NA,56560,NA,NA,NA,NA,NA,NA
Specialty (except Psychiatric and Substance Abuse) Hospitals,"Special Education Teachers, All Other",30,57270,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,Advertising and Promotions Managers,NA,NA,50,105770,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Buyers and Purchasing Agents, Farm Products",NA,NA,30,53540,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Wholesale and Retail Buyers, Except Farm Products",NA,NA,370,47120,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",NA,NA,7030,52760,NA,NA,NA,NA
General Medical and Surgical Hospitals,Insurance Underwriters,NA,NA,NA,49670,NA,NA,NA,NA
General Medical and Surgical Hospitals,Computer and Information Research Scientists,NA,NA,60,72530,NA,NA,NA,NA
General Medical and Surgical Hospitals,Computer Hardware Engineers,NA,NA,90,87050,NA,NA,NA,NA
General Medical and Surgical Hospitals,Substance Abuse and Behavioral Disorder Counselors,NA,NA,4490,48980,NA,NA,NA,NA
General Medical and Surgical Hospitals,Mental Health Counselors,NA,NA,6030,48440,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Title Examiners, Abstractors, and Searchers",NA,NA,70,38970,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Legal Support Workers, All Other",NA,NA,40,51000,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Postsecondary Teachers, All Other",NA,NA,NA,61680,NA,NA,NA,NA
General Medical and Surgical Hospitals,Elementary and Middle School Teachers,NA,NA,NA,50990,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Elementary School Teachers, Except Special Education",NA,NA,30,49850,NA,NA,NA,NA
General Medical and Surgical Hospitals,Secondary School Teachers,NA,NA,60,45260,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Special Education Teachers, All Other",NA,NA,60,53190,NA,NA,NA,NA
General Medical and Surgical Hospitals,Medical and Clinical Laboratory Technologists,NA,NA,80370,60750,NA,NA,NA,NA
General Medical and Surgical Hospitals,Medical and Clinical Laboratory Technicians,NA,NA,58240,41000,NA,NA,NA,NA
General Medical and Surgical Hospitals,Parking Enforcement Workers,NA,NA,40,28100,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Cooks, All Other",NA,NA,100,23710,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Grounds Maintenance Workers, All Other",NA,NA,140,34570,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Ushers, Lobby Attendants, and Ticket Takers",NA,NA,40,27820,NA,NA,NA,NA
General Medical and Surgical Hospitals,Tour and Travel Guides,NA,NA,100,28390,NA,NA,NA,NA
General Medical and Surgical Hospitals,Tour Guides and Escorts,NA,NA,100,28390,NA,NA,NA,NA
General Medical and Surgical Hospitals,Counter and Rental Clerks and Parts Salespersons,NA,NA,30,26530,NA,NA,NA,NA
General Medical and Surgical Hospitals,Counter and Rental Clerks,NA,NA,30,26530,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Sales Representatives, Wholesale and Manufacturing",NA,NA,60,49900,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",NA,NA,40,42850,NA,NA,NA,NA
General Medical and Surgical Hospitals,New Accounts Clerks,NA,NA,30,29730,NA,NA,NA,NA
General Medical and Surgical Hospitals,Construction Equipment Operators,NA,NA,70,59430,NA,NA,NA,NA
General Medical and Surgical Hospitals,Operating Engineers and Other Construction Equipment Operators,NA,NA,70,60050,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Drywall Installers, Ceiling Tile Installers, and Tapers",NA,NA,30,40430,NA,NA,NA,NA
General Medical and Surgical Hospitals,Drywall and Ceiling Tile Installers,NA,NA,30,40430,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Construction and Related Workers, All Other",NA,NA,70,38340,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Precision Instrument and Equipment Repairers, All Other",NA,NA,70,47010,NA,NA,NA,NA
General Medical and Surgical Hospitals,Sewing Machine Operators,NA,NA,40,31250,NA,NA,NA,NA
General Medical and Surgical Hospitals,Woodworkers,NA,NA,70,48610,NA,NA,NA,NA
General Medical and Surgical Hospitals,Cabinetmakers and Bench Carpenters,NA,NA,70,48610,NA,NA,NA,NA
General Medical and Surgical Hospitals,Ophthalmic Laboratory Technicians,NA,NA,40,48640,NA,NA,NA,NA
General Medical and Surgical Hospitals,Painting Workers,NA,NA,40,40470,NA,NA,NA,NA
General Medical and Surgical Hospitals,Photographic Process Workers and Processing Machine Operators,NA,NA,40,28570,NA,NA,NA,NA
General Medical and Surgical Hospitals,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",NA,NA,230,52390,NA,NA,NA,NA
General Medical and Surgical Hospitals,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,NA,NA,250,55990,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Transportation Attendants, Except Flight Attendants",NA,NA,280,24900,NA,NA,NA,NA
General Medical and Surgical Hospitals,Sheet Metal Workers,NA,NA,30,72430,NA,NA,NA,NA
General Medical and Surgical Hospitals,Helpers--Electricians,NA,NA,40,48460,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",NA,NA,40,52060,NA,NA,NA,NA
General Medical and Surgical Hospitals,Management occupations,NA,NA,NA,NA,175390,96650,161620,78360
General Medical and Surgical Hospitals,Chief executives,NA,NA,NA,NA,5730,175050,6150,146500
General Medical and Surgical Hospitals,General and operations managers,NA,NA,NA,NA,16100,105510,15490,85970
General Medical and Surgical Hospitals,Advertising and promotions managers,NA,NA,NA,NA,100,97150,330,63530
General Medical and Surgical Hospitals,Marketing managers,NA,NA,NA,NA,1150,97010,1430,71860
General Medical and Surgical Hospitals,Sales managers,NA,NA,NA,NA,230,104890,110,97130
General Medical and Surgical Hospitals,Public relations managers,NA,NA,NA,NA,1610,95060,1690,69830
General Medical and Surgical Hospitals,Administrative services managers,NA,NA,NA,NA,11270,82090,10490,67270
General Medical and Surgical Hospitals,Computer and information systems managers,NA,NA,NA,NA,5450,102700,5750,79740
General Medical and Surgical Hospitals,Financial managers,NA,NA,NA,NA,8830,104720,8180,85070
General Medical and Surgical Hospitals,Compensation and benefits managers,NA,NA,NA,NA,1260,90680,NA,NA
General Medical and Surgical Hospitals,Training and development managers,NA,NA,NA,NA,1380,90670,NA,NA
General Medical and Surgical Hospitals,"Human resources managers, all other",NA,NA,NA,NA,2880,97820,NA,NA
General Medical and Surgical Hospitals,Industrial production managers,NA,NA,NA,NA,50,86100,100,65830
General Medical and Surgical Hospitals,Purchasing managers,NA,NA,NA,NA,1490,85850,1740,61100
General Medical and Surgical Hospitals,"Transportation, storage, and distribution managers",NA,NA,NA,NA,280,74130,280,66090
General Medical and Surgical Hospitals,Construction managers,NA,NA,NA,NA,450,92390,440,82160
General Medical and Surgical Hospitals,"Education administrators, preschool and child care center/program",NA,NA,NA,NA,150,57000,250,48580
General Medical and Surgical Hospitals,"Education administrators, postsecondary",NA,NA,NA,NA,380,120940,480,73290
General Medical and Surgical Hospitals,"Education administrators, all other",NA,NA,NA,NA,590,99990,NA,NA
General Medical and Surgical Hospitals,Engineering managers,NA,NA,NA,NA,370,100050,520,74780
General Medical and Surgical Hospitals,Food service managers,NA,NA,NA,NA,1390,67940,2220,52670
General Medical and Surgical Hospitals,Lodging managers,NA,NA,NA,NA,60,65560,40,62170
General Medical and Surgical Hospitals,Medical and health services managers,NA,NA,NA,NA,96910,94090,81070,76890
General Medical and Surgical Hospitals,Natural sciences managers,NA,NA,NA,NA,260,108720,340,82050
General Medical and Surgical Hospitals,"Property, real estate, and community association managers",NA,NA,NA,NA,190,86960,200,72690
General Medical and Surgical Hospitals,Social and community service managers,NA,NA,NA,NA,3330,70570,3540,56850
General Medical and Surgical Hospitals,"Managers, all other",NA,NA,NA,NA,13480,87370,NA,NA
General Medical and Surgical Hospitals,Business and financial operations occupations,NA,NA,NA,NA,92160,56310,77000,47140
General Medical and Surgical Hospitals,"Purchasing agents and buyers, farm products",NA,NA,NA,NA,90,45380,130,39000
General Medical and Surgical Hospitals,"Wholesale and retail buyers, except farm products",NA,NA,NA,NA,610,45290,400,39820
General Medical and Surgical Hospitals,"Purchasing agents, except wholesale, retail, and farm products",NA,NA,NA,NA,7720,47520,7570,38940
General Medical and Surgical Hospitals,"Claims adjusters, examiners, and investigators",NA,NA,NA,NA,330,53160,400,43240
General Medical and Surgical Hospitals,"Compliance officers, except agriculture, construction, health and safety, and transportation",NA,NA,NA,NA,2420,62710,1300,53340
General Medical and Surgical Hospitals,Cost estimators,NA,NA,NA,NA,70,63520,70,52320
General Medical and Surgical Hospitals,Emergency management specialists,NA,NA,NA,NA,950,58240,730,57360
General Medical and Surgical Hospitals,"Employment, recruitment, and placement specialists",NA,NA,NA,NA,5680,52850,4930,44150
General Medical and Surgical Hospitals,"Compensation, benefits, and job analysis specialists",NA,NA,NA,NA,3420,52780,2640,45760
General Medical and Surgical Hospitals,Training and development specialists,NA,NA,NA,NA,7300,57460,5890,50630
General Medical and Surgical Hospitals,"Human resources, training, and labor relations specialists, all other",NA,NA,NA,NA,5900,55590,NA,NA
General Medical and Surgical Hospitals,Management analysts,NA,NA,NA,NA,5240,67390,4640,54930
General Medical and Surgical Hospitals,Meeting and convention planners,NA,NA,NA,NA,260,48750,370,38870
General Medical and Surgical Hospitals,"Business operations specialists, all other",NA,NA,NA,NA,26900,57150,NA,NA
General Medical and Surgical Hospitals,Accountants and auditors,NA,NA,NA,NA,14810,57330,13110,47610
General Medical and Surgical Hospitals,Budget analysts,NA,NA,NA,NA,900,63370,1460,52100
General Medical and Surgical Hospitals,Credit analysts,NA,NA,NA,NA,160,47460,170,46520
General Medical and Surgical Hospitals,Financial analysts,NA,NA,NA,NA,3760,63850,2750,53390
General Medical and Surgical Hospitals,Personal financial advisors,NA,NA,NA,NA,1060,43370,NA,NA
General Medical and Surgical Hospitals,Financial examiners,NA,NA,NA,NA,50,54960,70,43750
General Medical and Surgical Hospitals,Loan counselors,NA,NA,NA,NA,610,38280,360,30560
General Medical and Surgical Hospitals,Loan officers,NA,NA,NA,NA,40,48040,NA,NA
General Medical and Surgical Hospitals,"Financial specialists, all other",NA,NA,NA,NA,3590,51640,NA,NA
General Medical and Surgical Hospitals,Computer and mathematical science occupations,NA,NA,NA,NA,52180,61630,NA,NA
General Medical and Surgical Hospitals,"Computer and information scientists, research",NA,NA,NA,NA,30,68120,40,46550
General Medical and Surgical Hospitals,Computer programmers,NA,NA,NA,NA,3010,69410,3700,58840
General Medical and Surgical Hospitals,"Computer software engineers, applications",NA,NA,NA,NA,4060,74740,4000,61150
General Medical and Surgical Hospitals,"Computer software engineers, systems software",NA,NA,NA,NA,1140,74820,660,63100
General Medical and Surgical Hospitals,Computer support specialists,NA,NA,NA,NA,12630,44760,10180,38790
General Medical and Surgical Hospitals,Computer systems analysts,NA,NA,NA,NA,12690,67140,10150,57170
General Medical and Surgical Hospitals,Database administrators,NA,NA,NA,NA,2010,67270,1670,55060
General Medical and Surgical Hospitals,Network and computer systems administrators,NA,NA,NA,NA,8420,66170,4760,57920
General Medical and Surgical Hospitals,Network systems and data communications analysts,NA,NA,NA,NA,3730,65610,3090,55090
General Medical and Surgical Hospitals,"Computer specialists, all other",NA,NA,NA,NA,2080,60090,NA,NA
General Medical and Surgical Hospitals,Actuaries,NA,NA,NA,NA,40,88870,50,73400
General Medical and Surgical Hospitals,Operations research analysts,NA,NA,NA,NA,1320,63210,650,49650
General Medical and Surgical Hospitals,"Mathematical scientists, all other",NA,NA,NA,NA,30,60010,NA,NA
General Medical and Surgical Hospitals,Architecture and engineering occupations,NA,NA,NA,NA,3910,61000,4260,51610
General Medical and Surgical Hospitals,"Architects, except landscape and naval",NA,NA,NA,NA,110,79710,130,75970
General Medical and Surgical Hospitals,Biomedical engineers,NA,NA,NA,NA,1490,62850,1390,53220
General Medical and Surgical Hospitals,Civil engineers,NA,NA,NA,NA,110,74520,160,58150
General Medical and Surgical Hospitals,Electrical engineers,NA,NA,NA,NA,100,76450,170,60470
General Medical and Surgical Hospitals,Environmental engineers,NA,NA,NA,NA,60,72650,NA,NA
General Medical and Surgical Hospitals,"Health and safety engineers, except mining safety engineers and inspectors",NA,NA,NA,NA,420,53270,180,51590
General Medical and Surgical Hospitals,Industrial engineers,NA,NA,NA,NA,80,77030,50,55520
General Medical and Surgical Hospitals,Mechanical engineers,NA,NA,NA,NA,120,69030,110,48630
General Medical and Surgical Hospitals,"Engineers, all other",NA,NA,NA,NA,370,73570,NA,NA
General Medical and Surgical Hospitals,Architectural and civil drafters,NA,NA,NA,NA,40,49220,60,39250
General Medical and Surgical Hospitals,"Drafters, all other",NA,NA,NA,NA,40,43880,NA,NA
General Medical and Surgical Hospitals,Electrical and electronic engineering technicians,NA,NA,NA,NA,240,49310,560,48710
General Medical and Surgical Hospitals,Environmental engineering technicians,NA,NA,NA,NA,110,31840,NA,NA
General Medical and Surgical Hospitals,Mechanical engineering technicians,NA,NA,NA,NA,80,50110,130,40560
General Medical and Surgical Hospitals,"Engineering technicians, except drafters, all other",NA,NA,NA,NA,390,48290,NA,NA
General Medical and Surgical Hospitals,"Life, physical, and social science occupations",NA,NA,NA,NA,25550,69050,24300,52440
General Medical and Surgical Hospitals,Biochemists and biophysicists,NA,NA,NA,NA,450,100380,590,72030
General Medical and Surgical Hospitals,"Biological scientists, all other",NA,NA,NA,NA,750,48900,NA,NA
General Medical and Surgical Hospitals,"Medical scientists, except epidemiologists",NA,NA,NA,NA,8420,80090,6160,58530
General Medical and Surgical Hospitals,"Life scientists, all other",NA,NA,NA,NA,780,64700,NA,NA
General Medical and Surgical Hospitals,"Environmental scientists and specialists, including health",NA,NA,NA,NA,NA,67270,530,29570
General Medical and Surgical Hospitals,"Physical scientists, all other",NA,NA,NA,NA,40,85080,NA,NA
General Medical and Surgical Hospitals,Market research analysts,NA,NA,NA,NA,1140,56770,780,47860
General Medical and Surgical Hospitals,"Clinical, counseling, and school psychologists",NA,NA,NA,NA,4140,73050,4370,62010
General Medical and Surgical Hospitals,"Psychologists, all other",NA,NA,NA,NA,900,95940,NA,NA
General Medical and Surgical Hospitals,"Social scientists and related workers, all other",NA,NA,NA,NA,150,67120,NA,NA
General Medical and Surgical Hospitals,Biological technicians,NA,NA,NA,NA,2500,42010,2450,37280
General Medical and Surgical Hospitals,Chemical technicians,NA,NA,NA,NA,40,50310,410,34330
General Medical and Surgical Hospitals,Nuclear technicians,NA,NA,NA,NA,50,55570,NA,NA
General Medical and Surgical Hospitals,Social science research assistants,NA,NA,NA,NA,610,37130,NA,NA
General Medical and Surgical Hospitals,"Environmental science and protection technicians, including health",NA,NA,NA,NA,990,37560,890,24620
General Medical and Surgical Hospitals,"Life, physical, and social science technicians, all other",NA,NA,NA,NA,1850,43730,NA,NA
General Medical and Surgical Hospitals,Community and social services occupations,NA,NA,NA,NA,103380,49290,83820,41550
General Medical and Surgical Hospitals,Substance abuse and behavioral disorder counselors,NA,NA,NA,NA,6310,44210,3980,38400
General Medical and Surgical Hospitals,"Educational, vocational, and school counselors",NA,NA,NA,NA,300,39440,350,33840
General Medical and Surgical Hospitals,Marriage and family therapists,NA,NA,NA,NA,580,54110,250,45250
General Medical and Surgical Hospitals,Mental health counselors,NA,NA,NA,NA,6710,43860,5700,38090
General Medical and Surgical Hospitals,Rehabilitation counselors,NA,NA,NA,NA,1400,47180,2110,40400
General Medical and Surgical Hospitals,"Counselors, all other",NA,NA,NA,NA,1850,45410,NA,NA
General Medical and Surgical Hospitals,"Child, family, and school social workers",NA,NA,NA,NA,2200,45260,3310,40710
General Medical and Surgical Hospitals,Medical and public health social workers,NA,NA,NA,NA,42300,52830,30470,45040
General Medical and Surgical Hospitals,Mental health and substance abuse social workers,NA,NA,NA,NA,NA,49180,7240,39640
General Medical and Surgical Hospitals,"Social workers, all other",NA,NA,NA,NA,3900,56450,NA,NA
General Medical and Surgical Hospitals,Health educators,NA,NA,NA,NA,11360,56520,8870,46420
General Medical and Surgical Hospitals,Social and human service assistants,NA,NA,NA,NA,9280,32750,7450,29340
General Medical and Surgical Hospitals,"Community and social service specialists, all other",NA,NA,NA,NA,3680,49050,NA,NA
General Medical and Surgical Hospitals,"Directors, religious activities and education",NA,NA,NA,NA,160,69240,110,51930
General Medical and Surgical Hospitals,"Religious workers, all other",NA,NA,NA,NA,140,38180,NA,NA
General Medical and Surgical Hospitals,Legal occupations,NA,NA,NA,NA,1350,89920,820,78630
General Medical and Surgical Hospitals,"Arbitrators, mediators, and conciliators",NA,NA,NA,NA,60,72100,NA,NA
General Medical and Surgical Hospitals,Paralegals and legal assistants,NA,NA,NA,NA,360,50560,250,42550
General Medical and Surgical Hospitals,"Title examiners, abstractors, and searchers",NA,NA,NA,NA,170,40920,70,31380
General Medical and Surgical Hospitals,"Legal support workers, all other",NA,NA,NA,NA,90,52750,NA,NA
General Medical and Surgical Hospitals,"Education, training, and library occupations",NA,NA,NA,NA,19310,70730,23950,51380
General Medical and Surgical Hospitals,"Health specialties teachers, postsecondary",NA,NA,NA,NA,5940,105500,5110,70690
General Medical and Surgical Hospitals,"Nursing instructors and teachers, postsecondary",NA,NA,NA,NA,4000,73470,3990,63610
General Medical and Surgical Hospitals,"Vocational education teachers, postsecondary",NA,NA,NA,NA,100,49520,100,52600
General Medical and Surgical Hospitals,"Postsecondary teachers, all other",NA,NA,NA,NA,770,100740,NA,NA
General Medical and Surgical Hospitals,"Preschool teachers, except special education",NA,NA,NA,NA,1530,27850,2310,22880
General Medical and Surgical Hospitals,"Elementary school teachers, except special education",NA,NA,NA,NA,40,52250,100,24910
General Medical and Surgical Hospitals,"Special education teachers, preschool, kindergarten, and elementary school",NA,NA,NA,NA,90,47130,120,34860
General Medical and Surgical Hospitals,Self-enrichment education teachers,NA,NA,NA,NA,380,36900,590,38000
General Medical and Surgical Hospitals,"Teachers and instructors, all other",NA,NA,NA,NA,2440,52460,NA,NA
General Medical and Surgical Hospitals,Library technicians,NA,NA,NA,NA,510,35530,920,25380
General Medical and Surgical Hospitals,Audio-visual collections specialists,NA,NA,NA,NA,60,44410,60,33070
General Medical and Surgical Hospitals,Instructional coordinators,NA,NA,NA,NA,550,62440,810,46950
General Medical and Surgical Hospitals,Teacher assistants,NA,NA,NA,NA,1240,23890,1550,20110
General Medical and Surgical Hospitals,"Education, training, and library workers, all other",NA,NA,NA,NA,290,55350,NA,NA
General Medical and Surgical Hospitals,"Arts, design, entertainment, sports, and media occupations",NA,NA,NA,NA,9920,48580,8100,40060
General Medical and Surgical Hospitals,Multi-media artists and animators,NA,NA,NA,NA,50,61640,90,44110
General Medical and Surgical Hospitals,Floral designers,NA,NA,NA,NA,50,31890,50,24070
General Medical and Surgical Hospitals,Graphic designers,NA,NA,NA,NA,580,46420,490,39360
General Medical and Surgical Hospitals,Interior designers,NA,NA,NA,NA,130,56510,80,48800
General Medical and Surgical Hospitals,Producers and directors,NA,NA,NA,NA,90,42380,80,44340
General Medical and Surgical Hospitals,Public relations specialists,NA,NA,NA,NA,4300,52410,3610,42700
General Medical and Surgical Hospitals,Technical writers,NA,NA,NA,NA,250,63530,150,48520
General Medical and Surgical Hospitals,Writers and authors,NA,NA,NA,NA,180,56530,190,51390
General Medical and Surgical Hospitals,Interpreters and translators,NA,NA,NA,NA,2990,42400,1570,33990
General Medical and Surgical Hospitals,"Media and communication workers, all other",NA,NA,NA,NA,260,47180,NA,NA
General Medical and Surgical Hospitals,Audio and video equipment technicians,NA,NA,NA,NA,300,39370,320,36100
General Medical and Surgical Hospitals,"Media and communication equipment workers, all other",NA,NA,NA,NA,50,44530,NA,NA
General Medical and Surgical Hospitals,Healthcare practitioners and technical occupations,NA,NA,NA,NA,2712350,62790,2473190,50840
General Medical and Surgical Hospitals,"Dentists, general",NA,NA,NA,NA,790,113190,NA,NA
General Medical and Surgical Hospitals,Oral and maxillofacial surgeons,NA,NA,NA,NA,70,162570,NA,NA
General Medical and Surgical Hospitals,"Dentists, all other specialists",NA,NA,NA,NA,70,77000,NA,NA
General Medical and Surgical Hospitals,Dietitians and nutritionists,NA,NA,NA,NA,18390,52090,16270,44210
General Medical and Surgical Hospitals,Family and general practitioners,NA,NA,NA,NA,17580,149660,17360,127030
General Medical and Surgical Hospitals,"Internists, general",NA,NA,NA,NA,8100,157770,8020,129530
General Medical and Surgical Hospitals,Obstetricians and gynecologists,NA,NA,NA,NA,2480,181370,2000,151620
General Medical and Surgical Hospitals,"Pediatricians, general",NA,NA,NA,NA,3770,147700,3950,137990
General Medical and Surgical Hospitals,"Physicians and surgeons, all other",NA,NA,NA,NA,69700,113750,NA,NA
General Medical and Surgical Hospitals,Physician assistants,NA,NA,NA,NA,16820,83400,14150,67790
General Medical and Surgical Hospitals,Registered nurses,NA,NA,NA,NA,1458520,66490,1314520,53790
General Medical and Surgical Hospitals,Occupational therapists,NA,NA,NA,NA,23620,69530,21460,55880
General Medical and Surgical Hospitals,Physical therapists,NA,NA,NA,NA,46990,73600,42800,60150
